"","countrycode","year","gdppc","growth","UDel_pop_preci","UDel_pop_temp"
"2591","CUB",1998,3679.667532,-0.00285642821435594,1155.44472689618,25.5467572515259
"2592","CUB",1999,3891.189594,0.0558925155724666,1274.09657917601,24.9494519285117
"2593","CUB",2000,4105.879487,0.0537050485965,1184.73375802341,25.1499289944703
"2594","CUB",2001,4222.137133,0.0279214617732997,1231.20252730757,25.006655838136
"2595","CUB",2002,4268.917056,0.0110187487359408,1196.46671194949,25.6507838475863
"2596","CUB",2003,4419.177557,0.0345934274864295,1223.36209279495,25.8256201408539
"2597","CUB",2004,4665.386569,0.054217090976401,950.397261088091,25.7382255116873
"2598","CUB",2005,5182.819696,0.105178554352362,1319.47029343836,25.3753921843411
"2599","CUB",2006,5808.349565,0.113947211494931,1080.97559919146,25.5830157341588
"2600","CUB",2007,6235.7659,0.0710049478784462,1487.9347091221,25.5583772066982
"2601","CUB",2008,6500.652601,0.0416011616145973,1297.65521463548,25.2019981331668
"2602","CUB",2009,6601.026389,0.015322578410581,1106.63914240014,25.1185941800621
"2603","CUB",2010,6759.342799,0.0237005158196908,1346.9816900849,24.7946944094948
"2604","CUB",2011,6942.057697,0.0266725624526796,1251.58865496742,25.1537263324753
"2605","CUB",2012,7138.368173,0.0278859743330919,1347.35579623257,25.0816395462982
"2606","CUB",2013,7317.853996,0.0248329120134336,1231.63579812533,25.4078466637276
"2607","CUB",2014,7378.696264,0.0082798499667831,1252.81591116858,25.399057388454
"2608","CUB",2015,7694.014637,0.041845741707828,1131.15339901178,25.7746378895134
"2609","CUB",2016,7726.495044,0.00421263054279031,1252.11177928513,25.381423732674
"2610","CUB",2017,7863.394684,0.0175630695780224,1334.00035003872,25.3179649611762
"2611","CUW",1960,NA,NA,NA,NA
"2612","CUW",1961,NA,NA,NA,NA
"2613","CUW",1962,NA,NA,NA,NA
"2614","CUW",1963,NA,NA,NA,NA
"2615","CUW",1964,NA,NA,NA,NA
"2616","CUW",1965,NA,NA,NA,NA
"2617","CUW",1966,NA,NA,NA,NA
"2618","CUW",1967,NA,NA,NA,NA
"2619","CUW",1968,NA,NA,NA,NA
"2620","CUW",1969,NA,NA,NA,NA
"2621","CUW",1970,NA,NA,NA,NA
"2622","CUW",1971,NA,NA,NA,NA
"2623","CUW",1972,NA,NA,NA,NA
"2624","CUW",1973,NA,NA,NA,NA
"2625","CUW",1974,NA,NA,NA,NA
"2626","CUW",1975,NA,NA,NA,NA
"2627","CUW",1976,NA,NA,NA,NA
"2628","CUW",1977,NA,NA,NA,NA
"2629","CUW",1978,NA,NA,NA,NA
"2630","CUW",1979,NA,NA,NA,NA
"2631","CUW",1980,NA,NA,NA,NA
"2632","CUW",1981,NA,NA,NA,NA
"2633","CUW",1982,NA,NA,NA,NA
"2634","CUW",1983,NA,NA,NA,NA
"2635","CUW",1984,NA,NA,NA,NA
"2636","CUW",1985,NA,NA,NA,NA
"2637","CUW",1986,NA,NA,NA,NA
"2638","CUW",1987,NA,NA,NA,NA
"2639","CUW",1988,NA,NA,NA,NA
"2640","CUW",1989,NA,NA,NA,NA
"2641","CUW",1990,NA,NA,NA,NA
"2642","CUW",1991,NA,NA,NA,NA
"2643","CUW",1992,NA,NA,NA,NA
"2644","CUW",1993,NA,NA,NA,NA
"2645","CUW",1994,NA,NA,NA,NA
"2646","CUW",1995,NA,NA,NA,NA
"2647","CUW",1996,NA,NA,NA,NA
"2648","CUW",1997,NA,NA,NA,NA
"2649","CUW",1998,NA,NA,NA,NA
"2650","CUW",1999,NA,NA,NA,NA
"2651","CUW",2000,22296.88073,NA,NA,NA
"2652","CUW",2001,22967.55904,0.0296359526452399,NA,NA
"2653","CUW",2002,23030.55751,0.00273917778010713,NA,NA
"2654","CUW",2003,22625.52289,-0.0177433210500109,NA,NA
"2655","CUW",2004,22284.93198,-0.0151678463626084,NA,NA
"2656","CUW",2005,21870.78009,-0.0187592506538543,NA,NA
"2657","CUW",2006,21664.98432,-0.00945417201906018,NA,NA
"2658","CUW",2007,21765.98061,0.00465089699092047,NA,NA
"2659","CUW",2008,21964.12586,0.00906225125158144,NA,NA
"2660","CUW",2009,21705.63057,-0.0118387795251955,NA,NA
"2661","CUW",2010,21450.31391,-0.0118324203951587,NA,NA
"2662","CUW",2011,21277.23455,-0.00810157909440612,NA,NA
"2663","CUW",2012,21072.06581,-0.00968943257357679,NA,NA
"2664","CUW",2013,20669.07689,-0.0193095548111515,NA,NA
"2665","CUW",2014,20160.16381,-0.0249301446204555,NA,NA
"2666","CUW",2015,19951.3279,-0.0104128661419178,NA,NA
"2667","CUW",2016,19546.14055,-0.0205178499039178,NA,NA
"2668","CUW",2017,19144.81115,-0.0207461319340521,NA,NA
"2669","CYM",1960,NA,NA,1379.4,28.4
"2670","CYM",1961,NA,NA,1773.5,28.6
"2671","CYM",1962,NA,NA,1029.8,28.3
"2672","CYM",1963,NA,NA,1426.9,28.2
"2673","CYM",1964,NA,NA,1626.8,28.6
"2674","CYM",1965,NA,NA,982.7,28.2
"2675","CYM",1966,NA,NA,1366,27.7
"2676","CYM",1967,NA,NA,1456.8,27.7
"2677","CYM",1968,NA,NA,1353.2,27.5
"2678","CYM",1969,NA,NA,1487.9,28
"2679","CYM",1970,NA,NA,1207.8,27.7
"2680","CYM",1971,NA,NA,1363.2,27.5
"2681","CYM",1972,NA,NA,1398.6,27.8
"2682","CYM",1973,NA,NA,1433.5,27.6
"2683","CYM",1974,NA,NA,880.3,27.4
"2684","CYM",1975,NA,NA,829.1,27.6
"2685","CYM",1976,NA,NA,1219.4,27.6
"2686","CYM",1977,NA,NA,1465.3,27.9
"2687","CYM",1978,NA,NA,1132.4,27.6
"2688","CYM",1979,NA,NA,865.6,27.1
"2689","CYM",1980,NA,NA,831.9,27.3
"2690","CYM",1981,NA,NA,637.8,26.9
"2691","CYM",1982,NA,NA,416.6,27.5
"2692","CYM",1983,NA,NA,1216.6,27.6
"2693","CYM",1984,NA,NA,1027.5,27.3
"2694","CYM",1985,NA,NA,849.6,27
"2695","CYM",1986,NA,NA,787.5,27.2
"2696","CYM",1987,NA,NA,1243.1,27.5
"2697","CYM",1988,NA,NA,1295.1,28
"2698","CYM",1989,NA,NA,917.3,28.3
"2699","CYM",1990,NA,NA,1163.9,28.6
"2700","CYM",1991,NA,NA,770.1,28.6
"2701","CYM",1992,NA,NA,798.1,28.4
"2702","CYM",1993,NA,NA,935.2,28.4
"2703","CYM",1994,NA,NA,872.5,28.8
"2704","CYM",1995,NA,NA,866.1,28.9
"2705","CYM",1996,NA,NA,1069.9,28.4
"2706","CYM",1997,NA,NA,800.8,29
"2707","CYM",1998,NA,NA,638.9,29
"2708","CYM",1999,NA,NA,797.2,28.4
"2709","CYM",2000,NA,NA,969.8,28.5
"2710","CYM",2001,NA,NA,1246.1,28.6
"2711","CYM",2002,NA,NA,1356.8,29.1
"2712","CYM",2003,NA,NA,1470,29.2
"2713","CYM",2004,NA,NA,872.7,28.9
"2714","CYM",2005,NA,NA,1493.4,28.6
"2715","CYM",2006,91341.29327,NA,1217.2,28.7
"2716","CYM",2007,91434.53573,0.00102029320396291,1262.2,28.8
"2717","CYM",2008,88476.14088,-0.0328903386271353,1140.5,28.5
"2718","CYM",2009,79899.96431,-0.101957515001688,946.6,28.6
"2719","CYM",2010,75877.16834,-0.0516595793250278,1137.2,28.1
"2720","CYM",2011,75165.98744,-0.00941699280489594,927.6,28.6
"2721","CYM",2012,74688.88685,-0.00636752330248846,931.5,28.3
"2722","CYM",2013,74420.11995,-0.00360497594128084,921.9,28.5
"2723","CYM",2014,75246.82594,0.0110473878249575,895.5,28.6
"2724","CYM",2015,76284.19393,0.0136920374096885,937.8,28.7
"2725","CYM",2016,77694.6128,0.0183201616868747,808.5,28.8
"2726","CYM",2017,79133.79929,0.0183541601012038,1509.4,28.5
"2727","CYP",1960,NA,NA,348.399887100901,19.0062222564421
"2728","CYP",1961,NA,NA,591.143636619684,18.1062222564421
"2729","CYP",1962,NA,NA,512.03377466377,18.8370833654145
"2730","CYP",1963,NA,NA,401.55708182552,18.6679444743868
"2731","CYP",1964,NA,NA,458.051109742316,17.7605278013039
"2732","CYP",1965,NA,NA,490.239359299597,18.1988055833592
"2733","CYP",1966,NA,NA,562.139359299597,18.7988055833592
"2734","CYP",1967,NA,NA,584.04552510649,17.5605278013039
"2735","CYP",1968,NA,NA,660.780106739523,18.4988055833592
"2736","CYP",1969,NA,NA,527.847026145918,18.0062222564421
"2737","CYP",1970,NA,NA,375.134331459796,18.2062222564421
"2738","CYP",1971,NA,NA,478.166693608196,17.6370833654145
"2739","CYP",1972,NA,NA,289.451109742316,17.6370833654145
"2740","CYP",1973,NA,NA,287.680970158337,18.2296666923316
"2741","CYP",1974,NA,NA,391.90780412046,17.9988055833592
"2742","CYP",1975,7359.998112,NA,604.425470196834,18.0988055833592
"2743","CYP",1976,8923.620315,0.192642052942334,491.898442511022,17.7296666923316
"2744","CYP",1977,10382.45161,0.151415306623377,417.039359299597,18.1605278013039
"2745","CYP",1978,11148.50498,0.0711883706203285,537.432886869917,18.3296666923316
"2746","CYP",1979,12157.92959,0.0866761916561476,428.2766363887,18.5296666923316
"2747","CYP",1980,12718.48798,0.0450750832883813,408.016608933872,17.8296666923316
"2748","CYP",1981,12823.90214,0.0082541029241856,626.538358606645,18.1296666923316
"2749","CYP",1982,13436.18081,0.0466403445158292,352.513219407638,17.5296666923316
"2750","CYP",1983,14069.70274,0.0460726148924788,470.862497112699,17.3296666923316
"2751","CYP",1984,15104.91703,0.0709965782583222,499.995666230363,17.7988055833592
"2752","CYP",1985,15650.99553,0.0355142051631727,400.897748440857,17.9370833654145
"2753","CYP",1986,16045.62073,0.0249014335282567,351.946275626204,18.0062222564421
"2754","CYP",1987,16993.47941,0.0573937457272091,596.518747593916,17.7062222564421
"2755","CYP",1988,18268.12387,0.0723279696501642,626.908691914313,17.9062222564421
"2756","CYP",1989,19440.84803,0.0622187450140252,338.543192722757,17.9062222564421
"2757","CYP",1990,20440.10168,0.0501223188595912,302.283415441168,18.1445000384974
"2758","CYP",1991,20065.07835,-0.0185178313621925,601.091970081342,17.9753611474697
"2759","CYP",1992,21374.89357,0.0632361271085156,448.881414055263,17.0445000384973
"2760","CYP",1993,21010.95874,-0.0171728892574396,344.673803658492,17.8445000384973
"2761","CYP",1994,21795.12995,0.0366424016775717,643.169720062093,18.7753611474697
"2762","CYP",1995,23193.40502,0.0621814238323353,271.705859184105,18.013638929525
"2763","CYP",1996,23111.6748,-0.00353007942933381,483.690275318225,18.413638929525
"2764","CYP",1997,23388.14233,0.0118912634420845,404.88569137535,17.7445000384973
"2765","CYP",1998,24514.92313,0.0470528835726753,416.462941009625,18.8445000384973
"2766","CYP",1999,25453.74674,0.0375809123401147,293.061108972369,19.0753611474697
"2767","CYP",2000,26686.76727,0.0473048828797147,539.042135580256,18.5445000384973
"2768","CYP",2001,27444.17046,0.0279859413161958,523.06099607327,18.7062222564421
"2769","CYP",2002,28141.54538,0.0250931917303525,433.677080285627,18.8445000384973
"2770","CYP",2003,28530.91688,0.0137413343748314,503.672552792301,18.8445000384973
"2771","CYP",2004,29566.82064,0.0356645061919121,567.532386523441,18.5753611474697
"2772","CYP",2005,30558.42238,0.0329875309745162,393.528109203354,18.3370833654145
"2773","CYP",2006,31469.46024,0.0293772200816278,343.844831036325,18.2679444743868
"2774","CYP",2007,32377.07331,0.0284329990762195,474.71944166408,18.8370833654145
"2775","CYP",2008,32725.63362,0.0107081151316955,280.286692068303,19.0370833654145
"2776","CYP",2009,31216.76786,-0.0472032917030596,611.404995765292,18.8370833654145
"2777","CYP",2010,31023.63833,-0.00620594117765094,401.773359761565,19.5679444743868
"2778","CYP",2011,30363.50849,-0.0215079319212279,520.674441279107,18.2370833654145
"2779","CYP",2012,28873.62128,-0.0503130889390722,749.866524259548,19.0753611474697
"2780","CYP",2013,27044.30464,-0.0654519860523894,276.527608856877,19.1753611474697
"2781","CYP",2014,26843.41546,-0.00745587715521268,383.954830266378,19.0296666923316
"2782","CYP",2015,27865.59322,0.0373721532516011,465.197942164546,18.7988055833592
"2783","CYP",2016,29523.86515,0.0578062145596405,401.807053600746,19.1679444743868
