"","countrycode","UDel_t_pop","year"
"579","GUY",26.6364949834859,1902
"580","HKG",23.1,1902
"581","HMD",NA,1902
"582","HND",23.9250525595591,1902
"583","HRV",10.8891543038825,1902
"584","HTI",23.2790968261925,1902
"585","HUN",9.2336849896857,1902
"586","IDN",24.6264476655804,1902
"587","IMN",NA,1902
"588","IND",25.8045083092211,1902
"589","IOA",NA,1902
"590","IOT",NA,1902
"591","IRL",8.12518878073164,1902
"592","IRN",15.3389583726949,1902
"593","IRQ",22.8015123641303,1902
"594","ISL",0.980251131098054,1902
"595","ISR",19.86468427488,1902
"596","ITA",12.5556380549192,1902
"597","JAM",23.9513716363273,1902
"598","JEY",10.6,1902
"599","JOR",18.0741974242057,1902
"600","JPN",12.8776460711824,1902
"601","KAS",-4.1,1902
"602","KAZ",5.47510811061468,1902
"603","KEN",19.8216238943111,1902
"604","KGZ",5.69908010897599,1902
"605","KHM",27.6904161275531,1902
"606","KIR",NA,1902
"607","KNA",NA,1902
"608","KOR",10.83877577856,1902
"609","KOS",8.8890670336745,1902
"610","KWT",25.8460716425534,1902
"611","LAO",24.1598573416882,1902
"612","LBN",14.1861868660737,1902
"613","LBR",26.1654064564411,1902
"614","LBY",20.3154446867053,1902
"615","LCA",NA,1902
"616","LIE",3.45475076873469,1902
"617","LKA",26.3905736968971,1902
"618","LSO",11.2707549583509,1902
"619","LTU",4.56701766217406,1902
"620","LUX",8.3,1902
"621","LVA",4.04061826761909,1902
"622","MAC",21.9,1902
"623","MAF",NA,1902
"624","MAR",17.0077564220512,1902
"625","MCO",13.5,1902
"626","MDA",8.15746006442201,1902
"627","MDG",21.2125379943545,1902
"628","MDV",NA,1902
"629","MEX",18.3150088380532,1902
"630","MHL",NA,1902
"631","MKD",9.94260575762593,1902
"632","MLI",28.6644856023637,1902
"633","MLT",NA,1902
"634","MMR",25.2723616840648,1902
"635","MNE",7.88380603769516,1902
"636","MNG",-0.952924686188749,1902
"637","MNP",NA,1902
"638","MOZ",23.0619164894964,1902
"639","MRT",28.7276961658497,1902
"640","MSR",NA,1902
"641","MUS",24.1,1902
"642","MWI",20.7227504540644,1902
"643","MYS",25.95209740968,1902
"644","NAM",20.3673554150119,1902
"645","NCL",21.4420990774873,1902
"646","NER",28.7285331492678,1902
"647","NFK",NA,1902
"648","NGA",26.6405466092482,1902
"649","NIC",25.5547543494002,1902
"650","NIU",NA,1902
"651","NLD",8.60845393069405,1902
"652","NOR",3.41247095255071,1902
"653","NPL",21.1360839021821,1902
"654","NRU",NA,1902
"655","NZL",11.5046249266887,1902
"656","OMN",26.8754622581709,1902
"657","PAK",23.4348858700421,1902
"658","PAN",24.7166524814394,1902
"659","PCN",NA,1902
"660","PER",15.0720087266064,1902
"661","PHL",25.4689249768728,1902
"662","PLW",NA,1902
"663","PNG",21.547012621102,1902
"664","POL",6.41919015572603,1902
"665","PRI",23.7369269601052,1902
"666","PRK",7.5560088397494,1902
"667","PRT",14.5861237665093,1902
"668","PRY",22.4594865607772,1902
"669","PYF",24.2,1902
"670","QAT",25.9145262274944,1902
"671","ROU",8.32234400371323,1902
"672","RUS",2.31831235234531,1902
"673","RWA",19.6946860932274,1902
"674","ESH",23.9592285285246,1902
"675","SAU",25.8328678754768,1902
"676","SDN",27.5872344177763,1902
"677","SSD",27.1075892792197,1902
"678","SEN",27.4067023210486,1902
"679","SGP",NA,1902
"680","SGS",NA,1902
"681","SHN",NA,1902
"682","SLB",26.9360494296654,1902
"683","SLE",26.477804257213,1902
"684","SLV",22.030230504231,1902
"685","SMR",11.4895721114976,1902
"686","SOL",24.4770275446179,1902
"687","SOM",27.1489315759684,1902
"688","SPM",NA,1902
"689","SRB",9.67337115478392,1902
"690","STP",25.3,1902
"691","SUR",27.5424815991466,1902
"692","SVK",6.58192476512131,1902
"693","SVN",8.03264673333318,1902
"694","SWE",3.83384693483855,1902
"695","SWZ",19.4005360555335,1902
"696","SXM",NA,1902
"697","SYC",NA,1902
"698","SYR",17.7759194615787,1902
"699","TCA",26.3,1902
"700","TCD",27.4850081819974,1902
"701","TGO",26.8337773701514,1902
